City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Albany,42.65,-73.75,84.02,60,75,8.05
Kapaa,22.08,-159.32,78.98,93,90,18.34
Oksfjord,70.24,22.35,48.2,70,0,11.41
Richards Bay,-28.77,32.06,49.29,96,0,2.95
Pozo Colorado,-23.49,-58.8,73.5,65,0,9.22
Guerrero Negro,27.97,-114.04,70.98,83,0,8.99
Mataura,-46.19,168.86,54.69,81,8,7.43
Port Alfred,-33.59,26.89,57.12,100,0,7.43
Shahkot,31.08,75.34,82.86,82,56,7.43
New Norfolk,-42.78,147.06,48.2,61,75,10.29
Barrow,-38.31,-60.23,57.3,60,0,10.45
Torbay,47.66,-52.73,64.4,88,90,9.17
Khandyga,62.65,135.58,64.32,66,12,3.29
Ushuaia,-54.81,-68.31,33.8,74,40,5.82
Westport,53.8,-9.52,53.79,94,92,12.35
Opuwo,-18.06,13.84,51.18,34,0,7.2
Provideniya,64.42,-173.23,53.6,66,0,11.18
Butaritari,3.07,172.79,85.29,100,32,4.63
Arraial do Cabo,-22.97,-42.02,66.39,99,12,9.44
Atambua,-9.11,124.89,84.12,79,0,1.95
Aripuana,-9.17,-60.63,79.26,79,20,1.95
Tateyama,36.66,137.31,77.0,94,75,4.7
Laguna,27.52,-110.01,93.2,44,20,8.05
Port Hardy,50.7,-127.42,60.8,82,75,5.82
Luga,58.74,29.85,54.96,86,88,6.2
Hithadhoo,-0.6,73.08,79.98,100,64,5.64
Bethel,60.79,-161.76,57.02,66,90,3.36
Bukachacha,52.99,116.91,67.74,57,8,3.51
Bluff,-23.58,149.07,76.38,21,0,8.88
Jamestown,-33.21,138.6,67.92,28,80,18.95
Berlevag,70.86,29.09,37.95,100,0,6.2
Sangar,63.92,127.47,60.45,72,24,2.51
Fairbanks,64.84,-147.72,55.04,79,75,10.29
Tutoia,-2.76,-42.27,77.82,85,0,12.12
Athens,34.8,-86.97,87.08,83,40,5.82
Ixtapa,20.71,-105.21,86.0,84,75,8.05
Vostok,46.45,135.83,66.48,73,76,3.4
Nantucket,41.28,-70.1,82.04,83,1,10.29
Upernavik,72.79,-56.15,37.77,100,76,10.67
Ponta do Sol,-20.63,-46.0,65.94,68,8,10.78
Ostrovnoy,68.05,39.51,40.29,88,20,2.84
Bandar-e Anzali,37.47,49.46,68.0,100,0,2.62
